岗位,地点,薪资,工作经验,学历,公司,技能,区间最小薪资(K),城市地区,城市,地区
算法工程师,南京·秦淮区·新街口,20-40K,'经验不限', '本科',九算优化 NM OPTIM,"['C++', 'Java', '算法设计', '数据分析']",20,南京秦淮区,南京,秦淮区
资深多媒体算法工程师,南京,40-70K·16薪,'经验不限', '硕士',某知名集成电路公司,"['C/C++', 'ISP/3A算法经验', '图像算法', '多媒体算法', 'ISP', '图像识别经验', 'MATLAB']",40,南京,南京,
规划导航算法,南京·雨花台区·铁心桥,28-55K·15薪,'3-5年', '硕士',腾讯,['规划'],28,南京雨花台区,南京,雨花台区
算法工程师,南京·江宁区·胜太路,30-60K·13薪,'3-5年', '硕士',美乐威电子,"['ISP算法', '视频编解码', '3A算法', 'HDR算法', 'H265', 'H264', 'AV1']",30,南京江宁区,南京,江宁区
算法工程师,南京,20-40K,'3-5年', '本科',某大型机电公司,['C/C++'],20,南京,南京,
高级/资深算法工程师（NLP）,南京·雨花台区·铁心桥,25-40K·14薪,'3-5年', '硕士',SHEIN,"['Python', 'TensorFlow', 'PyTorch', '计算机相关专业', '自然语言处理项目经验']",25,南京雨花台区,南京,雨花台区
算法工程师,南京·玄武区·徐庄软件园,15-22K·14薪,'3-5年', '硕士',中元汇吉,"['医疗器械', '信号算法']",15,南京玄武区,南京,玄武区
高级算法工程师,南京,20-35K·15薪,'3-5年', '硕士',某知名医疗健康公司,"['Java', 'C/C++', '医疗影像', '生信分析', '通信和遥感']",20,南京,南京,
GIS算法,南京,25-50K·13薪,'5-10年', '本科',某大型智能硬件公司,"['Java', 'Python', 'C/C++', 'GIS']",25,南京,南京,
算法工程师,南京,30-60K·14薪,'经验不限', '本科',某仪器仪表公司,"['业务导向', '感知算法', '规划导航', 'SLAM']",30,南京,南京,
AI NLP算法专家,南京,35-55K·16薪,'5-10年', '硕士',某500强上市公司,"['TensorFlow', 'Python', '知识图谱相关经验']",35,南京,南京,
气象算法师,南京,10-15K·14薪,'1-3年', '硕士',浦蓝,"['气象', 'Python', '数值模式']",10,南京,南京,
视频编解码算法工程师,南京·玄武区·徐庄软件园,25-50K,'3-5年', '硕士',中星技术,['C/C++'],25,南京玄武区,南京,玄武区
ISP算法工程师,南京,30-60K·16薪,'1-3年', '本科',某大型半导体公司,"['C++', 'Python', '音视频编解码', '算法设计', '深度学习算法', '视觉图像算法']",30,南京,南京,
规划控制算法,南京,20-40K·15薪,'3-5年', '本科',某大型知名汽车生产上市公司,['自动驾驶'],20,南京,南京,
图像算法工程师,南京,20-40K·15薪,'3-5年', '本科',某大型医疗健康公司,['图像识别经验'],20,南京,南京,
算法工程师,南京,35-50K,'5-10年', '硕士',某大型计算机软件公司,"['C++', '深度学习算法', '机器学习算法', 'CNN', 'SVM', 'GDBT']",35,南京,南京,
视频算法工程师,南京,20-40K·13薪,'3-5年', '本科',某500强上市公司,"['视频图像处理算法', 'DSP']",20,南京,南京,
人工智能高级主任（图像）,南京,120-180K,'5-10年', '硕士',某大型知名汽车生产上市公司,"['计算机相关专业', '图像识别经验', '英文读写能力良好', '自动驾驶', '视觉感知', '泊车环视']",120,南京,南京,
算法负责人,南京,70-90K·14薪,'5-10年', '本科',某仪器仪表公司,['算法负责人'],70,南京,南京,
算法工程师,南京·建邺区·奥体,15-20K·13薪,'3-5年', '本科',宇天仿真,"['C++', '算法设计']",15,南京建邺区,南京,建邺区
遥感图像算法工程师,南京·雨花台区·铁心桥,12-18K,'1-3年', '本科',南京星遥科技有限公司,['Python'],12,南京雨花台区,南京,雨花台区
算法工程师,南京,30-50K·16薪,'经验不限', '本科',某工业自动化公司,['业务导向'],30,南京,南京,
